status	package	type	kind	responsibility	required_methods
RESERVED	com.nsocry.game.player	PlayerIdentity	record	Tên, giới tính, class nhân vật	name();gender();classId()
RESERVED	com.nsocry.game.player	PlayerProgression	class	Level, exp, tiềm năng, điểm kỹ năng	gainExperience(amount);allocatePotential(stat,points);allocateSkill(skillId,points)
RESERVED	com.nsocry.game.player	PlayerRepository	interface	Load/save aggregate player	findById(id);findByAccount(accountId);save(player)
RESERVED	com.nsocry.game.player	PlayerPresenceService	class	Online/offline và session binding	connect(playerId,sessionId);disconnect(sessionId);findOnline(playerId)
RESERVED	com.nsocry.game.combat	Combatant	interface	Contract thực thể tham chiến	combatId();stats();position();isAlive();receive(result)
RESERVED	com.nsocry.game.combat	CombatStats	record	Chỉ số chiến đấu đã tổng hợp	attack();defense();accuracy();evasion();critical();resistance()
RESERVED	com.nsocry.game.combat	DamageCalculator	interface	Tính damage thuần từ context	calculate(context)
RESERVED	com.nsocry.game.combat	CombatService	class	Validate và thực thi một đòn đánh	attack(request);applyEffect(request);tick(now)
RESERVED	com.nsocry.game.combat	CombatResult	record	Kết quả damage/effect để phát event	damage();critical();dodged();effects()
RESERVED	com.nsocry.game.ability	AbilityContribution	interface	Đóng góp stat từ một nguồn	apply(base,context)
RESERVED	com.nsocry.game.ability	AbilityResolver	class	Gộp base/equip/effect/fashion	resolve(player,context)
RESERVED	com.nsocry.game.skill	LearnedSkill	class	Trạng thái skill runtime người chơi	level();upgrade(points);cooldownReady(now);markUsed(now)
RESERVED	com.nsocry.game.skill	PlayerSkillBook	class	Aggregate danh sách skill đã học	find(skillId);learn(skillId);upgrade(skillId,points)
RESERVED	com.nsocry.game.skill	SkillExecutionService	class	Validate mana/cooldown/target và tạo combat request	execute(caster,skillId,target,now)
RESERVED	com.nsocry.game.skill	SkillRepository	interface	Load/save skill book	load(playerId);save(playerId,book)
RESERVED	com.nsocry.game.item	ItemInstanceId	record	Định danh item instance	value()
RESERVED	com.nsocry.game.item	ItemInstance	class	Item runtime với template/options/quantity	id();templateId();quantity();options();changeQuantity(delta)
RESERVED	com.nsocry.game.item	Inventory	class	Aggregate túi đồ theo slot	add(item);remove(itemId,quantity);move(itemId,slot);find(itemId)
RESERVED	com.nsocry.game.item	Equipment	class	Trang bị theo vị trí	equip(item,slot);unequip(slot);items()
RESERVED	com.nsocry.game.item	ItemFactory	class	Tạo item từ template và rule	create(templateId,context)
RESERVED	com.nsocry.game.item	InventoryRepository	interface	Load/save inventory và equipment	load(playerId);save(playerId,inventory,equipment)
RESERVED	com.nsocry.game.fashion	FashionResolver	class	Tính appearance/stat từ đồ thời trang	resolveAppearance(player);resolveAbility(player)
RESERVED	com.nsocry.game.effect	StatusEffect	class	Effect runtime có thời hạn	apply(target);tick(now);expire();isExpired(now)
RESERVED	com.nsocry.game.effect	EffectDefinition	record	Metadata effect không trạng thái	id();stackPolicy();duration();modifiers()
RESERVED	com.nsocry.game.effect	EffectService	class	Add/remove/tick effect theo stacking rule	add(target,effect);remove(target,effectId);tick(now)
RESERVED	com.nsocry.game.map	MapId	record	Định danh map	value()
RESERVED	com.nsocry.game.map	MapDefinition	record	Template map, tile, waypoint, spawn	id();tileMap();waypoints();spawns()
RESERVED	com.nsocry.game.map	MapRegistry	interface	Tra cứu map definition	find(mapId);require(mapId)
RESERVED	com.nsocry.game.map	MapTravelService	class	Validate waypoint và chuyển map	travel(player,destination);reviveAt(player,mapId)
RESERVED	com.nsocry.game.map.instance	MapInstanceId	record	Định danh instance/zone	value()
RESERVED	com.nsocry.game.map.instance	MapInstance	class	Runtime container player/mob/npc/item	enter(entity);leave(entityId);tick(now);snapshot()
RESERVED	com.nsocry.game.map.instance	MapInstanceRule	interface	Luật cave/arena/territory/event instance	canEnter(context);onEnter(context);onTick(instance,now);onExit(context)
RESERVED	com.nsocry.game.map.instance	MapInstanceManager	class	Lifecycle và lookup instance	create(definition,rule);find(id);remove(id);tick(now)
RESERVED	com.nsocry.game.map.item	GroundItem	class	Item rơi trên map với owner/expiry	id();item();position();canPickup(player,now);isExpired(now)
RESERVED	com.nsocry.game.map.item	GroundItemService	class	Spawn/pickup/expire item map	spawn(request);pickup(player,itemId);tick(now)
RESERVED	com.nsocry.game.mob	MobId	record	Định danh mob runtime	value()
RESERVED	com.nsocry.game.mob	Mob	class	Aggregate mob state/target/combat	id();templateId();state();tick(context);receive(result)
RESERVED	com.nsocry.game.mob	MobFactory	class	Spawn mob từ asset template	create(templateId,spawnContext)
RESERVED	com.nsocry.game.mob	MobBehavior	interface	AI behavior mob	decide(mob,context)
RESERVED	com.nsocry.game.mob	MobService	class	Spawn/death/respawn/drop lifecycle	spawn(request);defeat(mob,killer);tick(now)
RESERVED	com.nsocry.game.npc	NpcId	record	Định danh NPC runtime	value()
RESERVED	com.nsocry.game.npc	Npc	class	NPC instance và vị trí	id();templateId();position()
RESERVED	com.nsocry.game.npc	NpcInteractionHandler	interface	Xử lý một interaction typed	supports(command);handle(context,command)
RESERVED	com.nsocry.game.npc	NpcService	class	Route menu/dialog/store/task interaction	interact(player,npcId,command)
RESERVED	com.nsocry.game.task	TaskProgress	class	Tiến độ nhiệm vụ người chơi	accept(template);record(event);canComplete();complete()
RESERVED	com.nsocry.game.task	TaskDefinition	record	Mục tiêu/reward/route nhiệm vụ	id();requirements();objectives();rewards()
RESERVED	com.nsocry.game.task	TaskService	class	Accept/progress/complete task	accept(player,taskId);onEvent(player,event);complete(player,taskId)
RESERVED	com.nsocry.game.task	TaskRepository	interface	Load/save task progress	load(playerId);save(playerId,progress)
RESERVED	com.nsocry.game.party	PartyId	record	Định danh nhóm	value()
RESERVED	com.nsocry.game.party	Party	class	Aggregate leader/member/invite	invite(actor,target);accept(target);leave(member);changeLeader(member)
RESERVED	com.nsocry.game.party	PartyService	class	Use-case party và broadcast	create(leader);invite(request);accept(request);leave(request)
RESERVED	com.nsocry.game.clan	ClanId	record	Định danh bang hội	value()
RESERVED	com.nsocry.game.clan	Clan	class	Aggregate clan/member/role/fund	addMember(member);removeMember(memberId);changeRole(memberId,role);changeFund(delta)
RESERVED	com.nsocry.game.clan	ClanRepository	interface	Load/save clan	find(id);findByMember(playerId);save(clan)
RESERVED	com.nsocry.game.clan	ClanService	class	Create/join/leave/territory/task use-case	create(request);join(request);leave(request);contribute(request)
RESERVED	com.nsocry.game.trade	TradeSession	class	Hai bên đặt item/money và xác nhận	addOffer(actor,offer);confirm(actor);cancel(reason);isReady()
RESERVED	com.nsocry.game.trade	TradeService	class	Atomic exchange giữa hai inventory	open(request);offer(request);confirm(request);cancel(request)
RESERVED	com.nsocry.game.store	StoreCatalog	interface	Tra cứu catalog NPC/clan/event	find(storeId);items(storeId)
RESERVED	com.nsocry.game.store	PurchaseService	class	Validate currency/stock và mua item	purchase(request)
RESERVED	com.nsocry.game.store	PlayerStall	class	Gian hàng người chơi	list(item,price);unlist(itemId);buy(buyer,itemId)
RESERVED	com.nsocry.game.chat	ChatService	class	Local/global/private/clan/party chat	send(request)
RESERVED	com.nsocry.game.chat	ChatPolicy	interface	Rate-limit/profanity/permission	validate(sender,channel,message)
RESERVED	com.nsocry.game.giftcode	GiftCodeService	class	Redeem idempotent và phát reward	redeem(player,code)
RESERVED	com.nsocry.game.giftcode	GiftCodeRepository	interface	Atomic claim state	find(code);claim(code,playerId,now)
RESERVED	com.nsocry.game.ranking	RankingService	class	Tạo snapshot bảng xếp hạng	refresh(type);page(type,offset,limit)
RESERVED	com.nsocry.game.ranking	RankingRepository	interface	Đọc/ghi ranking snapshot	load(type);replace(type,entries)
RESERVED	com.nsocry.game.event	GameEventDefinition	record	Cấu hình event theo thời gian/rule/reward	id();window();rules();rewards()
RESERVED	com.nsocry.game.event	GameEventHandler	interface	Lifecycle event plugin	start(context);onEvent(event);tick(now);stop(context)
RESERVED	com.nsocry.game.event	GameEventManager	class	Activate/deactivate và route domain event	register(definition,handler);tick(now);publish(event)
RESERVED	com.nsocry.game.bot	BotController	class	Điều phối sensor/decision/action bot	tick(context);stop()
RESERVED	com.nsocry.game.bot	BotDecisionPolicy	interface	Chọn intent tiếp theo	decide(snapshot)
RESERVED	com.nsocry.game.bot	BotMovementPolicy	interface	Chọn đường đi/đích	plan(snapshot,intent)
RESERVED	com.nsocry.game.bot	BotCombatPolicy	interface	Chọn target/skill	planAttack(snapshot,intent)
RESERVED	com.nsocry.scheduler	AutoSaveJob	class	Lưu dirty aggregates theo batch	run()
RESERVED	com.nsocry.scheduler	WorldTickJob	class	Tick map/mob/effect/event theo cadence	run(now)
